building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,4,38,4,4,1.0000,1.0000,0.9218,0.3276,0.9511,1354,1.230261,조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,2,9,2,2,1.0000,1.0000,0.4215,3.2180,6.6549,646,0.811919,조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,3,2,1,0.5000,1.0000,0.4981,6.3394,14.4844,674,2.497057,조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,0,0.0000,0.0000,,13.4309,27.1109,664,0.347597,무효·붕괴,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,1,0.5000,1.0000,0.5652,9.2602,22.4323,850,2.716252,무효·붕괴,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,3,2,1,0.5000,1.0000,0.4447,5.5451,12.6155,710,2.785679,조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,2,22,4,2,0.5000,1.0000,0.7551,1.9936,6.2803,1438,0.687574,조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_s2p_arm1p_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,13.5076,base,gs_e5_C001_s2p_arm1p_dense_r1,dense,3,0.05,0.5,on,2.0
