source_path,relation,target_path,target_exists,evidence,confidence,line
docs/evidence/README.md,references,docs/evidence/evidence_cards_v1/README.md,yes,evidence_cards_v1/README.md,explicit,5
docs/evidence/README.md,references,docs/evidence/evidence_cards_v2/README.md,yes,evidence_cards_v2/README.md,explicit,6
docs/evidence/README.md,references,docs/evidence/evidence_cards_v3/README.md,yes,evidence_cards_v3/README.md,explicit,7
docs/evidence/README.md,references,docs/evidence/judgment_kit_v4/README.md,yes,judgment_kit_v4/README.md,explicit,8
docs/evidence/README.md,references,docs/evidence/p0_g1_20260613/README.md,yes,p0_g1_20260613/README.md,explicit,9
docs/evidence/README.md,references,docs/research/repository/migrations/EVIDENCE_PACKAGE_PATHS.csv,yes,../research/repository/migrations/EVIDENCE_PACKAGE_PATHS.csv,explicit,11
docs/evidence/archive/README.md,references,docs/evidence/archive/overnight_coordination/README.md,yes,overnight_coordination/README.md,explicit,7
docs/evidence/archive/README.md,references,docs/evidence/archive/pre_tum_results/README.md,yes,pre_tum_results/README.md,explicit,7
docs/evidence/archive/README.md,references,docs/experiments/README.md,yes,../../experiments/README.md,explicit,5
docs/evidence/archive/README.md,references,docs/research/repository/migrations,yes,../../research/repository/migrations/,explicit,5
docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,mentions_path,docs/experiments/input-and-alignment/lowtex_v5/tables/lowtex_v5.csv,yes,docs/lowtex_v5.csv,text+historical_source_path+path_migration,2
docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,mentions_path,docs/experiments/input-and-alignment/pointcloud_attributes/tables/pointcloud_attributes_v1_3.csv,yes,docs/pointcloud_attributes_v1_3.csv,text+historical_source_path+path_migration,2
docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,mentions_path,docs/regression_input_snapshot.csv,no,docs/regression_input_snapshot.csv,text,2
docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,mentions_path,phases/p2-gsjso/runs/boundary_and_robustness/20260716_boundary_map/mast3r_correspondence.csv,yes,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,text+current_layout,2
docs/evidence/archive/boundary_map/v2/figs/boundary_map_v2_ladder.png,candidate_supersedes,docs/evidence/archive/boundary_map/v1/figs/boundary_map_ladder.png,yes,matching family/lineage key and adjacent filename versions,filename_candidate,
docs/evidence/archive/boundary_map/v2/figs/boundary_map_v2_ladder.png,supersedes,docs/evidence/archive/boundary_map/v1/figs/boundary_map_ladder.png,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_confusion.csv,candidate_supersedes,docs/evidence/archive/boundary_map/v1/tables/boundary_map_confusion.csv,yes,matching family/lineage key and adjacent filename versions,filename_candidate,
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_confusion.csv,supersedes,docs/evidence/archive/boundary_map/v1/tables/boundary_map_confusion.csv,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_ladder.csv,supersedes,docs/evidence/archive/boundary_map/v1/tables/boundary_map_ladder.csv,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,candidate_supersedes,docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,yes,matching family/lineage key and adjacent filename versions,filename_candidate,
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/lowtex_v5.csv:roof_grad_p10_v5,no,docs/lowtex_v5.csv:roof_grad_p10_v5,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/lowtex_v5.csv:roof_lowtex_v5,no,docs/lowtex_v5.csv:roof_lowtex_v5,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac,no,docs/pointcloud_attributes_v1_3.csv:raw_dense.coverage_frac,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint,no,docs/pointcloud_attributes_v1_3.csv:raw_dense.n_points_footprint,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2,no,docs/pointcloud_attributes_v1_3.csv:raw_dense.pt_density_m2,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/population_aux_v4.csv:frac_views_incidence_le60,no,docs/population_aux_v4.csv:frac_views_incidence_le60,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/population_aux_v4.csv:n_views_nadir,no,docs/population_aux_v4.csv:n_views_nadir,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,docs/population_aux_v4.csv:recon_score_median,no,docs/population_aux_v4.csv:recon_score_median,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,mentions_path,results/tum_transfer/analysis/footprints_aoi.geojson:area_m2,no,results/tum_transfer/analysis/footprints_aoi.geojson:area_m2,text,2
docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_metrics.csv,supersedes,docs/evidence/archive/boundary_map/v1/tables/boundary_map_metrics.csv,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v3/figs/boundary_map_v3_map.png,supersedes,docs/evidence/archive/boundary_map/v2/figs/boundary_map_v2_ladder.png,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v3/reports/W_boundary_map_v3_summary_20260719.md,candidate_supersedes,docs/evidence/archive/boundary_map/v2/reports/W_boundary_map_v2_summary_20260718.md,yes,matching family/lineage key and adjacent filename versions,filename_candidate,
docs/evidence/archive/boundary_map/v3/reports/W_boundary_map_v3_summary_20260719.md,supersedes,docs/evidence/archive/boundary_map/v2/reports/W_boundary_map_v2_summary_20260718.md,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
docs/evidence/archive/boundary_map/v3/tables/boundary_map_v3_ladder.csv,supersedes,docs/evidence/archive/boundary_map/v2/tables/boundary_map_v2_ladder.csv,yes,docs/research/repository/families/BOUNDARY_MAP.md,reviewed_family_map,
