arm,replicate,run_name,building_id,has_lod22,ref_roof_planes,gs_roof_planes,primary_class,primary_label,rf_rmse_lod22,rmse_tail,clean,val3dity_valid,status_reason,roofer_no_points,clip_building_points,clip_zero_points
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,56,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_108247350,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_108247351,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907184,True,4,67,over_seg,과분할,0.951331,False,False,False,val3dity_invalid,False,382573,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907185,True,2,15,over_seg,과분할,5.832468,False,False,True,success,False,3920,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907186,True,2,1,under_seg,과병합,0.541341,False,False,True,success,False,517,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907188,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,374,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907194,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,16,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907195,True,2,3,over_seg,과분할,1.597581,False,False,True,success,False,1091,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907198,True,4,12,over_seg,과분할,3.615297,False,False,True,success,False,3299,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907199,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,1033,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4907202,True,2,5,over_seg,과분할,20.846184,True,False,False,val3dity_invalid,False,1607,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4908168,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4908178,True,2,1,under_seg,과병합,43.105537,True,False,False,val3dity_invalid,False,191,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,64,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_60098,True,2,2,clean_struct,구조 일치,3.314752,False,True,True,success,False,316,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_8568391,True,1,2,over_seg,과분할,12.204517,True,False,False,val3dity_invalid,False,109,False
sparse,r1,gs_e5_C001_sparse_r1,DEBY_LOD2_8568392,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_108247350,True,1,1,clean_struct,구조 일치,0.350415,False,True,True,success,False,53,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_108247351,True,1,1,clean_struct,구조 일치,2.551575,False,True,True,success,False,199,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907184,True,4,66,over_seg,과분할,0.608917,False,False,False,val3dity_invalid,False,384052,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907185,True,2,13,over_seg,과분할,4.377320,False,False,True,success,False,4366,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907186,True,2,1,under_seg,과병합,0.825543,False,False,True,success,False,397,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907188,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,29,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907194,True,2,1,under_seg,과병합,6.487740,False,False,False,val3dity_invalid,False,113,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907195,True,2,6,over_seg,과분할,3.069189,False,False,True,success,False,1157,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907198,True,4,14,over_seg,과분할,2.865139,False,False,True,success,False,3207,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907199,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,718,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4907202,True,2,2,clean_struct,구조 일치,0.815628,False,True,True,success,False,6974,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4908168,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4908178,True,2,2,clean_struct,구조 일치,3.349817,False,True,True,success,False,2360,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_60098,True,2,3,over_seg,과분할,0.702196,False,False,True,success,False,399,False
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_8568391,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
sparse,r2,gs_e5_C001_sparse_r2,DEBY_LOD2_8568392,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,6,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_108247350,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_108247351,True,1,1,clean_struct,구조 일치,1.122709,False,True,True,success,False,79,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907184,True,4,42,over_seg,과분할,1.586049,False,False,False,val3dity_invalid,False,409741,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907185,True,2,10,over_seg,과분할,1.702653,False,False,True,success,False,3437,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907186,True,2,2,clean_struct,구조 일치,2.347814,False,True,True,success,False,455,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907188,True,2,2,clean_struct,구조 일치,1.750910,False,True,False,val3dity_invalid,False,294,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907194,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,33,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907195,True,2,3,over_seg,과분할,1.072473,False,False,True,success,False,1003,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907198,True,4,16,over_seg,과분할,3.898746,False,False,True,success,False,3406,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907199,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,1248,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4907202,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,653,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4908168,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4908178,True,2,1,under_seg,과병합,36.842022,True,False,False,val3dity_invalid,False,227,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_60098,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,344,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_8568391,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,19,False
dense,r1,gs_e5_C001_dense_r1,DEBY_LOD2_8568392,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_108247350,True,1,1,clean_struct,구조 일치,0.026150,False,True,True,success,False,27,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_108247351,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,87,False
