rank,bytes,MiB,GiB,path,object_id,git_mode,staged_change,unstaged_change,in_HEAD_at_path,in_origin_exp_fusion_w1_at_path,lfs_pointer,current_storage,provisional_class,classification_note
1,10471726,9.986616,0.009753,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/sources/GS4Buildings_arXiv_2508.07355v1.pdf,b5b894c3ede8dffc65a826dd04fbe804db66ac01,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
2,7549402,7.199671,0.007031,docs/figs/projection_gate2/nn_multi.png,ba3662ac110ac4155380eaca4144bc4c9c671812,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
3,5542949,5.286168,0.005162,docs/s3b0_seed_survival_timeline.csv,f0e522363bc9ef1ed7225cdd13fe38f22b31f4cf,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
4,5520068,5.264347,0.005141,phases/p2-gsjso/runs/20260718_boundary_map_v2/fm_jobs.json,ecb96170d49ad4bfff7d205604a58c4580160229,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
5,4596380,4.383450,0.004281,docs/figs/e5_c001_s3b0/hsweep/DEBY_LOD2_4907199_native_overlay.png,6a9e8187fdd7ccc5a512d597eae20058abe828dc,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
6,4245779,4.049090,0.003954,docs/figs/projection_gate2/oblchk_4907520.png,690257e85356bd3420936e09b76b12e8b35e7f7d,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
7,4111205,3.920751,0.003829,docs/figs/projection_gate2/eave_4906972.png,ade3ebb26307b6cf253809618c3378b69714c302,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
8,3879006,3.699308,0.003613,docs/figs/projection_gate2/oblchk_4906985.png,b0af62fd6012e95698f7254861a834766b1a4d7f,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
9,3800746,3.624674,0.003540,phases/p0-audit/docs/G1_package/figs/fig_02_figure_1_1a_dim_unrecovered_4907182.png,c09b8861e1f9a8de6402ea28fc4fd4e38d04f993,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
10,3800746,3.624674,0.003540,phases/p0-audit/docs/figs/w3_t12_figure_1_1_failure_story.png,c09b8861e1f9a8de6402ea28fc4fd4e38d04f993,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
