schema_version,row_type,source_id,source_role,condition_id,seed,building_id,selection_rank,is_core10,is_small_lt50m2,observation_stratum,size_area_stratum,metric_available,provenance_validated,full_state_manifest_path,full_state_manifest_sha256,training_config_path,training_config_sha256,pilot_arm,segmentation_source,max_iter,last_completed_steps,process_completed_steps,process_completed,learning_runs_started,latest_full_checkpoint_path,latest_full_checkpoint_sha256,latest_full_checkpoint_steps,eligible_20k_full_state,partial,guard_status,guard_reason,input_kind,input_path,input_sha256,cityjson_path,cityjson_sha256,roofer_invocation_count,roofer_marker_path,roofer_marker_sha256,roofer_image,roofer_parameters,score_marker_path,score_invocation_count,val3dity_report,val3dity_report_sha256,val3dity_version,val3dity_version_output,val3dity_exit_code,rf_success,rf_pointcloud_unusable,rf_extrusion_mode,lod1_fallback,geometry_has_lod22,has_lod22,val3dity_valid,roof_face_count_model,roof_face_count_ref,face_count_ratio,face_count_ratio_abs_error,roof_rms_m,rms_le_0p3,rms_le_1p0,roof_hausdorff_m,roof_distance_samples,roof_completeness,completeness_ge_0p8,completeness_ge_0p9,completeness_ge_0p95,dense_has_lod22,dense_val3dity_valid,dense_face_count_ratio,dense_face_count_ratio_abs_error,dense_roof_rms_m,dense_roof_hausdorff_m,dense_roof_completeness,delta_has_lod22,delta_val3dity_valid,delta_face_count_ratio_abs_error,delta_roof_rms_m,delta_roof_hausdorff_m,delta_roof_completeness,rms_lt_dense,als_roof_rms_m,rms_gap_to_als_m,als_gap_closed_fraction,crs,score_time_z_shift_m,reference_role
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4906966,1,false,false,high,high,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,12.000000000,6.000000000,2.000000000,1.000000000,0.656173811,false,true,5.219997969,4293.000000000,0.999909734,true,true,true,true,true,2.000000000,1.000000000,0.656173811,5.219997969,0.999909734,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.740872946,-0.084699135,-0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907178,2,false,false,low,mid,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,11.000000000,2.000000000,5.500000000,4.500000000,1.465031105,false,false,8.228459011,781.000000000,0.999955807,true,true,true,true,true,5.500000000,4.500000000,1.465031105,8.228459011,0.999955807,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,1.230781874,0.234249231,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907183,3,false,false,low,high,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,19.000000000,2.000000000,9.500000000,8.500000000,0.625595321,false,true,3.131378158,1444.000000000,0.999926124,true,true,true,true,true,9.500000000,8.500000000,0.625595321,3.131378158,0.999926124,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.400449862,0.225145459,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907184,4,true,false,high,high,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,6.000000000,4.000000000,1.500000000,0.500000000,0.354716522,false,true,2.638333513,1348.000000000,0.995567105,true,true,true,true,true,1.500000000,0.500000000,0.354716522,2.638333513,0.995567105,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,3.008492769,-2.653776247,-0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907185,5,true,false,high,mid,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,3.000000000,2.000000000,1.500000000,0.500000000,2.613993006,false,false,10.997450351,645.000000000,0.999948727,true,true,true,true,true,1.500000000,0.500000000,2.613993006,10.997450351,0.999948727,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.267703666,2.346289340,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907186,6,true,false,mid,mid,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,2.000000000,2.000000000,1.000000000,0.000000000,3.543989669,false,false,11.354917333,669.000000000,0.999810607,true,true,true,true,true,1.000000000,0.000000000,3.543989669,11.354917333,0.999810607,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.407042625,3.136947044,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907188,7,true,false,low,mid,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,3.000000000,2.000000000,1.500000000,0.500000000,1.354221199,false,false,4.138715144,664.000000000,0.999949573,true,true,true,true,true,1.500000000,0.500000000,1.354221199,4.138715144,0.999949573,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.173617451,1.180603748,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907195,8,true,false,low,mid,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,2.000000000,2.000000000,1.000000000,0.000000000,0.269773262,true,true,0.570649324,59.000000000,0.082079788,false,false,false,true,true,1.000000000,0.000000000,0.269773262,0.570649324,0.082079788,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.251183004,0.018590258,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907196,9,false,false,high,high,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,7.000000000,4.000000000,1.750000000,0.750000000,0.750791909,false,true,13.206432923,1663.000000000,0.970367339,true,true,true,true,true,1.750000000,0.750000000,0.750791909,13.206432923,0.970367339,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,3.037625832,-2.286833923,-0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
jointbuildgs.pilot_1wave.scoring.v1,building_score,dense_w2_1,control,,,DEBY_LOD2_4907198,10,true,false,mid,high,true,,,,,,,,,,,,,,,,,,,,existing_cityjson,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0,,,,,,,phases/p2-gsjso/runs/20260718_qs_baseline178_rescore/val3dity/01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae.json,,2.6.0,,,,,standard,false,true,true,true,1.000000000,4.000000000,0.250000000,0.750000000,2.127468875,false,false,2.595384354,22.000000000,0.014397369,false,false,false,true,true,0.250000000,0.750000000,2.127468875,2.595384354,0.014397369,0,0,0.000000000,0.000000000,0.000000000,0.000000000,false,0.185857192,1.941611683,0.000000000,EPSG:25832,0.000000000,LoD2 scoring only
