building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,18.0578,19.1548,48,0.065649,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,17.4982,19.6840,260,3.353173,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,4,30,4,3,0.7500,0.7500,0.3788,1.9110,6.9096,1354,1.442866,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,1,12,2,1,0.5000,1.0000,0.5007,4.2081,6.6146,644,1.625828,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,5,2,0,0.0000,0.0000,,9.0158,19.8774,710,2.216556,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,3,32,4,3,0.7500,1.0000,0.3377,4.4825,14.6316,1439,2.339334,무효·붕괴,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,true,false,failure,val3dity_invalid,True,False,1,1,1,0,0.0000,0.0000,,9.0790,15.0004,393,3.091955,무효·붕괴,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,0,0.0000,0.0000,,12.1106,19.5051,454,0.715725,무효·붕괴,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,4,2,0,0.0000,0.0000,,9.3647,20.2090,784,0.219233,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,18.2307,19.6962,48,0.071398,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,18.0560,21.5738,260,0.596969,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
